index,FIPS code,Year,Hail Reports,Wind Reports
509,17189,1974,0,2
510,17189,1975,1,3
511,17189,1976,3,0
512,17189,1977,1,0
513,17189,1978,0,0
514,17189,1979,0,0
515,17189,1980,0,0
516,17189,1981,1,2
517,17189,1982,1,1
518,17189,1983,0,2
519,17189,1984,1,1
520,17189,1985,0,2
521,17189,1986,1,0
522,17189,1987,1,1
523,17189,1988,0,1
524,17189,1989,1,0
525,17189,1990,0,2
526,17189,1991,0,2
527,17189,1992,2,3
528,17189,1993,1,0
529,17189,1994,0,4
530,17189,1995,5,2
531,17189,1996,7,4
532,17189,1997,2,2
533,17189,1998,4,5
534,17189,1999,5,1
535,17189,2000,4,1
536,17189,2001,7,8
537,17189,2002,5,3
538,17189,2003,2,2
539,17189,2004,5,7
540,17189,2005,4,6
541,17189,2006,16,2
542,17189,2007,0,0
543,17189,2008,5,10
544,17189,2009,5,3
545,17189,2010,4,2
546,17189,2011,0,10
547,17189,2012,13,3
548,17189,2013,3,2
549,17189,2014,0,1
550,17189,2015,0,4
551,17189,2016,1,8
552,17189,2017,0,1
553,17189,2018,1,2
554,17189,2019,1,0
555,17189,2020,1,1
556,17189,2021,0,1
557,17189,2022,0,2
558,17189,2023,2,6
559,17189,2024,4,7
560,20005,1955,0,0
561,20005,1956,0,1
562,20005,1957,0,0
563,20005,1958,0,0
564,20005,1959,0,1
565,20005,1960,0,1
566,20005,1961,1,0
567,20005,1962,0,0
568,20005,1963,0,0
569,20005,1964,0,0
570,20005,1965,3,0
571,20005,1966,0,0
572,20005,1967,0,0
573,20005,1968,0,0
574,20005,1969,0,0
575,20005,1970,0,0
576,20005,1971,0,0
577,20005,1972,0,0
578,20005,1973,0,0
579,20005,1974,1,2
580,20005,1975,0,0
581,20005,1976,0,1
582,20005,1977,0,0
583,20005,1978,0,0
584,20005,1979,0,0
585,20005,1980,3,0
586,20005,1981,2,0
587,20005,1982,0,1
588,20005,1983,0,0
589,20005,1984,1,2
590,20005,1985,0,1
591,20005,1986,5,1
592,20005,1987,0,1
593,20005,1988,0,0
594,20005,1989,1,1
595,20005,1990,0,0
596,20005,1991,0,1
597,20005,1992,1,4
598,20005,1993,0,0
599,20005,1994,0,2
600,20005,1995,5,3
601,20005,1996,5,0
602,20005,1997,2,2
603,20005,1998,4,3
604,20005,1999,0,0
605,20005,2000,4,5
606,20005,2001,4,1
607,20005,2002,3,1
608,20005,2003,4,0
609,20005,2004,6,2
610,20005,2005,7,1
611,20005,2006,9,2
612,20005,2007,2,0
613,20005,2008,0,2
614,20005,2009,5,1
615,20005,2010,4,5
616,20005,2011,13,5
617,20005,2012,3,0
618,20005,2013,3,3
619,20005,2014,5,3
620,20005,2015,4,1
621,20005,2016,6,1
622,20005,2017,4,6
623,20005,2018,3,0
624,20005,2019,1,0
625,20005,2020,1,0
626,20005,2021,0,3
627,20005,2022,1,0
628,20005,2023,2,2
629,20005,2024,2,7
630,20045,1955,0,1
631,20045,1956,0,1
632,20045,1957,0,1
633,20045,1958,1,2
634,20045,1959,0,0
635,20045,1960,0,1
636,20045,1961,0,1
637,20045,1962,0,2
638,20045,1963,0,1
639,20045,1964,0,1
640,20045,1965,4,0
641,20045,1966,4,0
642,20045,1967,0,0
643,20045,1968,1,3
644,20045,1969,1,2
645,20045,1970,1,4
646,20045,1971,5,1
647,20045,1972,1,1
648,20045,1973,0,4
649,20045,1974,2,1
650,20045,1975,3,0
651,20045,1976,2,1
652,20045,1977,3,1
653,20045,1978,1,2
654,20045,1979,1,0
655,20045,1980,3,4
656,20045,1981,3,7
657,20045,1982,5,3
658,20045,1983,4,1
659,20045,1984,0,1
660,20045,1985,0,1
661,20045,1986,7,1
662,20045,1987,0,5
663,20045,1988,1,1
664,20045,1989,1,1
665,20045,1990,3,5
666,20045,1991,11,7
667,20045,1992,3,6
668,20045,1993,4,3
669,20045,1994,4,4
670,20045,1995,0,2
671,20045,1996,5,0
672,20045,1997,6,8
673,20045,1998,8,9
674,20045,1999,5,8
675,20045,2000,27,12
676,20045,2001,24,12
677,20045,2002,25,14
678,20045,2003,18,3
679,20045,2004,9,6
680,20045,2005,12,14
681,20045,2006,16,3
682,20045,2007,1,4
683,20045,2008,20,18
684,20045,2009,17,3
685,20045,2010,13,18
686,20045,2011,17,10
687,20045,2012,10,3
688,20045,2013,4,3
689,20045,2014,2,3
690,20045,2015,10,5
691,20045,2016,9,17
692,20045,2017,6,14
693,20045,2018,9,22
694,20045,2019,8,11
695,20045,2020,0,8
696,20045,2021,1,12
697,20045,2022,1,9
698,20045,2023,8,18
699,20045,2024,0,22
700,20059,1955,0,0
701,20059,1956,0,1
702,20059,1957,0,0
703,20059,1958,0,0
704,20059,1959,1,0
705,20059,1960,1,0
706,20059,1961,0,0
707,20059,1962,0,1
708,20059,1963,1,0
709,20059,1964,1,1
710,20059,1965,1,2
711,20059,1966,0,0
712,20059,1967,0,0
713,20059,1968,0,0
714,20059,1969,0,0
715,20059,1970,0,2
716,20059,1971,1,2
717,20059,1972,0,1
718,20059,1973,0,1
719,20059,1974,2,3
720,20059,1975,1,1
721,20059,1976,2,0
722,20059,1977,0,0
723,20059,1978,1,0
724,20059,1979,0,1
725,20059,1980,0,3
726,20059,1981,0,1
727,20059,1982,2,1
728,20059,1983,1,2
729,20059,1984,3,1
730,20059,1985,1,1
731,20059,1986,3,5
732,20059,1987,0,4
733,20059,1988,2,1
734,20059,1989,0,1
735,20059,1990,1,3
736,20059,1991,1,2
737,20059,1992,7,4
738,20059,1993,2,0
739,20059,1994,3,4
740,20059,1995,5,2
741,20059,1996,7,4
742,20059,1997,4,3
743,20059,1998,12,12
744,20059,1999,5,5
745,20059,2000,16,10
746,20059,2001,6,2
747,20059,2002,13,11
748,20059,2003,18,2
749,20059,2004,4,2
750,20059,2005,7,12
751,20059,2006,5,2
752,20059,2007,5,3
753,20059,2008,15,18
754,20059,2009,5,10
755,20059,2010,2,1
756,20059,2011,13,3
757,20059,2012,2,4
758,20059,2013,5,2
759,20059,2014,10,5
760,20059,2015,6,4
761,20059,2016,5,10
762,20059,2017,9,5
763,20059,2018,10,8
764,20059,2019,7,16
765,20059,2020,2,4
766,20059,2021,1,8
767,20059,2022,0,1
768,20059,2023,4,7
769,20059,2024,2,7
770,20087,1955,0,0
771,20087,1956,1,4
772,20087,1957,0,0
773,20087,1958,0,0
774,20087,1959,0,1
775,20087,1960,0,0
776,20087,1961,3,0
777,20087,1962,1,1
778,20087,1963,3,1
779,20087,1964,0,2
780,20087,1965,1,1
781,20087,1966,0,1
782,20087,1967,1,1
783,20087,1968,0,1
784,20087,1969,1,1
785,20087,1970,1,2
786,20087,1971,2,1
787,20087,1972,2,0
788,20087,1973,0,2
789,20087,1974,0,2
790,20087,1975,2,0
791,20087,1976,0,0
792,20087,1977,1,0
793,20087,1978,0,4
794,20087,1979,0,0
795,20087,1980,0,0
796,20087,1981,2,1
797,20087,1982,1,3
798,20087,1983,4,1
799,20087,1984,0,2
800,20087,1985,2,1
801,20087,1986,3,5
802,20087,1987,2,0
803,20087,1988,1,1
804,20087,1989,4,0
805,20087,1990,2,1
806,20087,1991,6,0
807,20087,1992,1,5
808,20087,1993,2,0
809,20087,1994,0,5
810,20087,1995,1,0
811,20087,1996,4,4
812,20087,1997,15,10
813,20087,1998,15,14
814,20087,1999,0,2
815,20087,2000,11,23
816,20087,2001,32,10
817,20087,2002,24,15
818,20087,2003,12,2
819,20087,2004,18,10
820,20087,2005,37,10
821,20087,2006,25,8
822,20087,2007,1,6
823,20087,2008,5,18
824,20087,2009,7,1
825,20087,2010,31,13
826,20087,2011,32,6
827,20087,2012,0,3
828,20087,2013,4,4
829,20087,2014,11,1
830,20087,2015,0,0
831,20087,2016,5,12
832,20087,2017,8,18
833,20087,2018,0,4
834,20087,2019,9,16
835,20087,2020,5,5
836,20087,2021,1,21
837,20087,2022,2,7
838,20087,2023,9,31
839,20087,2024,12,39
840,20091,1955,0,1
841,20091,1956,0,0
842,20091,1957,0,0
843,20091,1958,0,0
844,20091,1959,9,1
845,20091,1960,5,0
846,20091,1961,4,0
847,20091,1962,1,0
848,20091,1963,2,1
849,20091,1964,5,0
850,20091,1965,3,6
851,20091,1966,12,3
852,20091,1967,2,3
853,20091,1968,2,4
854,20091,1969,3,8
855,20091,1970,0,2
856,20091,1971,3,5
857,20091,1972,5,3
858,20091,1973,2,4
859,20091,1974,6,3
860,20091,1975,4,3
861,20091,1976,2,2
862,20091,1977,2,3
863,20091,1978,3,8
864,20091,1979,1,5
865,20091,1980,3,4
866,20091,1981,3,6
867,20091,1982,8,11
868,20091,1983,1,5
869,20091,1984,2,7
870,20091,1985,3,5
871,20091,1986,5,5
872,20091,1987,3,9
873,20091,1988,4,5
874,20091,1989,2,2
875,20091,1990,2,2
876,20091,1991,7,4
877,20091,1992,7,5
878,20091,1993,12,4
879,20091,1994,1,6
880,20091,1995,16,15
881,20091,1996,3,0
882,20091,1997,3,2
883,20091,1998,2,8
884,20091,1999,2,10
885,20091,2000,9,24
886,20091,2001,31,17
887,20091,2002,12,3
888,20091,2003,40,4
889,20091,2004,3,3
890,20091,2005,10,9
891,20091,2006,29,2
892,20091,2007,18,1
893,20091,2008,42,17
894,20091,2009,12,11
895,20091,2010,6,19
896,20091,2011,21,13
897,20091,2012,14,3
898,20091,2013,6,14
899,20091,2014,20,12
900,20091,2015,12,16
901,20091,2016,38,20
902,20091,2017,25,38
903,20091,2018,16,13
904,20091,2019,16,13
905,20091,2020,1,15
906,20091,2021,27,8
907,20091,2022,1,11
908,20091,2023,8,15
909,20091,2024,24,26
910,20103,1955,0,1
911,20103,1956,0,1
912,20103,1957,0,0
913,20103,1958,0,0
914,20103,1959,0,1
915,20103,1960,0,0
916,20103,1961,0,1
917,20103,1962,1,0
918,20103,1963,1,0
919,20103,1964,1,2
920,20103,1965,0,6
921,20103,1966,3,2
922,20103,1967,0,2
923,20103,1968,3,2
924,20103,1969,3,4
925,20103,1970,4,2
926,20103,1971,0,3
927,20103,1972,4,1
928,20103,1973,2,3
929,20103,1974,2,2
930,20103,1975,1,0
931,20103,1976,3,0
932,20103,1977,2,1
933,20103,1978,0,0
934,20103,1979,1,2
935,20103,1980,0,2
936,20103,1981,0,1
937,20103,1982,0,2
938,20103,1983,0,5
939,20103,1984,0,0
940,20103,1985,0,0
941,20103,1986,1,1
942,20103,1987,1,5
943,20103,1988,3,1
944,20103,1989,6,2
945,20103,1990,0,0
946,20103,1991,4,5
947,20103,1992,5,2
948,20103,1993,4,1
